R,0.168861
L,0.113642
R,3.55644
L,3.32478
R,0.21256
L,0.590028
R,0.449426
L,0.250408
R,2.83719
L,0.662323
R,1.99818
L,1.4554
R,1.7565
L,1.91912
R,4.70283
L,0.76279
R,1.45262
L,1.1211
R,1.37563
L,2.00219
R,7.02445
L,2.78708
R,3.44396
L,1.16211
R,2.37857
L,6.14124
R,3.00882
L,0.0948539
R,2.22033
L,0.515899
R,4.93856
L,2.27194
R,0.930521
L,1.57284
R,2.28159
L,0.776618
R,0.908697
L,2.22831
R,2.26925
L,0.664564
R,1.95222
L,0.761353
R,3.08216
L,3.70178
R,0.868304
L,1.51419
R,1.21543
L,3.29444
R,3.65477
L,0.382598
R,3.73347
L,0.534248
R,2.65606
L,3.75039
R,2.43046
L,1.65893
R,1.86558
L,0.743673
R,1.64983
L,1.93723
R,0.496059
L,0.864118
R,2.49499
L,4.1011
R,1.82442
L,0.110273
R,2.67473
L,0.91644
R,5.52728
L,0.613724
R,5.15189
L,0.285895
R,1.88957
L,2.64391
R,3.93775
L,0.430901
R,3.32776
L,1.70033
R,1.98923
L,0.565867
R,0.386962
L,2.08684
R,1.97282
L,2.42001
R,1.36514
L,0.726798
R,4.01239
L,0.0154419
R,0.605675
L,1.36118
R,0.274327
L,0.637845
R,3.77167
L,1.56358
R,0.342746
L,5.06387
R,1.19146
L,4.03915
R,5.31714
L,1.58402
R,5.90122
L,1.6496
R,3.77107
L,2.55581
R,5.22551
L,1.61983
R,2.93306
L,0.980253
R,3.69637
L,0.634128
R,2.94334
L,0.336112
R,0.944444
L,2.87697
R,0.328207
L,1.34233
R,4.50982
L,4.54647
R,0.441768
L,0.572155
R,0.421303
L,1.2851
R,2.46254
L,0.290334
R,3.81858
L,1.75914
R,0.303541
L,0.139129
R,6.08812
L,4.75502
R,0.917987
L,0.544364
R,7.04623
L,0.607523
R,0.995784
L,3.58907
R,1.78427
L,3.45754
R,1.23454
L,3.28176
R,1.73843
L,2.97537
R,1.71565
L,0.518873
R,2.70888
L,1.66122
R,1.55693
L,3.93322
R,2.75016
L,1.62197
R,3.37846
L,1.29314
R,3.0275
L,0.880456
R,0.293502
L,1.72826
R,4.59269
L,5.49552
R,2.10681
L,2.18048
R,2.29152
L,0.450865
R,5.10292
L,1.38821
R,8.02843
L,0.513628
R,1.68646
L,0.159903
R,0.621444
L,2.41781
R,1.70928
L,0.26526
R,3.93881
L,2.99935
R,1.04639
L,1.15444
R,4.87501
L,15.0745
R,1.53438
L,0.732568
R,2.45945
L,1.29932
R,1.91801
L,1.73869
R,6.41031
L,0.22614
R,2.06683
L,1.24278
R,0.862148
L,5.76533
R,3.18557
L,2.21926
R,2.05033
L,0.660248
R,0.95189
L,2.1806
R,1.93051
L,3.08983
R,3.45183
L,5.30677
R,0.300014
L,2.75518
R,1.84292
L,0.389376
R,1.2976
L,0.601842
R,6.15171
L,0.576842
R,0.135636
L,0.544855
R,11.3922
L,1.99812
R,3.34334
L,4.28381
R,0.262745
L,1.34218
R,1.62165
L,5.93874
R,1.17469
L,1.25459
R,2.01853
L,1.10642
R,1.65435
L,0.039562
R,5.19499
L,0.553044
R,2.24295
L,2.60539
R,2.74961
L,1.70993
R,1.79219
L,2.99397
R,6.81248
L,0.0892074
R,8.17983
L,0.394392
R,0.360496
L,0.84671
R,0.579052
L,0.0939457
R,3.13447
L,1.48575
R,2.11438
L,0.253113
R,1.13951
L,3.78349
R,0.607199
L,2.03051
R,9.01165
L,0.428992
R,2.319
L,0.923238
R,0.865472
L,1.20727
R,3.09896
L,0.0382977
R,4.89051
L,0.095521
R,1.67061
L,4.23564
R,5.505
L,1.01632
R,1.66808
L,0.286801
R,2.64124
L,2.11173
R,5.67211
L,0.0596187
R,1.55695
L,4.64092
R,5.90826
L,2.93043
R,4.69972
L,1.30666
R,1.46698
L,0.597067
R,1.01452
L,0.798721
R,4.56131
L,6.07789
R,1.71964
L,0.713983
R,5.90696
L,3.29601
R,2.9
L,1.09051
R,0.435879
L,1.28322
R,0.0619648
L,1.1841
R,0.524262
L,0.774634
R,0.268996
L,1.85922
R,7.64094
L,0.265115
R,6.68055
L,2.14842
R,0.581789
L,7.78524
R,1.78867
L,0.675858
R,0.252173
L,3.75924
R,1.22769
L,2.1949
R,0.418579
L,1.8904
R,2.68857
L,0.88233
R,9.78848
L,2.71974
R,0.222437
L,1.02052
R,6.83687
L,1.95453
R,4.02139
L,0.624907
R,2.63979
L,0.919768
R,6.5198
L,5.50892
R,1.35211
L,5.03206
R,1.85411
L,0.582217
